PeriodoMuestra;uwindM;vwindM
1122004;13.745.936;0.86664734
1012005;13.682.257;0.79033343
1022005;11.477.657;0.62266837
1032005;0.72968206;0.60537556
1042005;-0.10077605;0.44372539
1052005;-0.28105266;0.27869185
1062005;-0.68464388;0.29335315
1072005;-0.39479599;0.18395733
1082005;-0.01294336;0.30350327
1092005;0.15591499;0.47680729
1102005;0.79555658;0.57191774
1112005;11.067.039;0.73582349
1122005;14.523.255;0.7286808
1012006;13.763.503;0.67191528
1022006;12.858.826;0.61890906
1032006;0.87109269;0.63056291
1042006;0.34080281;0.5260542
1052006;-0.27161064;0.34936681
1062006;-0.56365434;0.20839283
1072006;-0.58209921;0.22079854
1082006;-0.14644905;0.34147226
1092006;0.16930948;0.55988796
1102006;0.83156798;0.64033711
1112006;11.493.027;0.69071181
1122006;14.134.596;0.82115974
1012007;14.628.655;0.71364358
1022007;1.172.798;0.60311998
1032007;0.75295772;0.56176761
1042007;0.4334663;0.46665716
1052007;-0.19892909;0.32417946
1062007;-0.70067335;0.15801812
1072007;-0.64907164;0.22643749
1082007;-0.056200961;0.32568318
1092007;0.588491;0.45086808
1102007;0.93960219;0.673419
1112007;0.95343584;0.74747734
1122007;13.781.069;0.74221431
1012008;1.449.471;0.75010885
1022008;12.307.676;0.5959773
1032008;0.82124764;0.44823656
1042008;0.42556136;0.51214477
1052008;-0.53335207;0.28959384
1062008;-0.91366763;0.15914591
1072008;-0.25075038;0.19523525
1082008;-0.35461254;0.32643504
1092008;0.49868208;0.42530479
1102008;0.87548433;0.66176515
1112008;13.515.375;0.6783061
1122008;14.826.278;0.64973537
1012009;13.745.936;0.65575026
1022009;11.295.404;0.6230443
1032009;0.79687407;0.59146613
1042009;0.3109397;0.47192019
1052009;-0.17433593;0.39485441
1062009;-0.74590718;0.2166633
1072009;-0.55135777;0.25388043
1082009;-0.32211444;0.40425268
1092009;0.45564406;0.49222044
1102009;0.56258036;0.67191528
1112009;13.091.583;0.76477014
1122009;13.761.307;0.8219116
1012010;14.035.784;0.73431976
1022010;1.315.087;0.67116342
1032010;10.401.706;0.56966215
1042010;0.33882658;0.49109265
1052010;-0.12097757;0.3185405
1062010;-0.34604885;0.13583822
1072010;-0.4571572;0.16666453
1082010;0.086527165;0.38545615
1092010;0.41106897;0.46740902
1102010;0.79994821;0.68695251
1112010;0.90117539;0.70800462
1122010;15.917.599;0.73619942
1012011;15.074.406;0.72567336
1022011;13.475.851;0.62041279
1032011;10.456.602;0.6783061
1042011;0.33223912;0.60800708
1052011;-0.26765817;0.35688542
1062011;-0.7349281;0.17192755
1072011;-0.37086158;0.12080099
1082011;-0.23164677;0.29485687
1092011;1,20E+00;0.55913609
1102011;10.280.936;0.64785572
1112011;12.834.672;0.77003317
1122011;16.110.831;0.85950466
1012012;16.727.856;0.71740289
1022012;13.095.974;0.73469569
1032012;0.89612501;0.61289417
1042012;0.24023438;0.56327133
1052012;-0.27622186;0.30500699
1062012;-0.86755546;0.24297844
1072012;-0.44354314;0.29936804
1082012;-0.25360494;0.20989655
1092012;0.66819917;0.51064104
1102012;0.95431417;0.61740534
1112012;1.121.855;0.72717708
1122012;14.013.826;0.81401706
1012013;14.319.044;0.69221553
1022013;11.763.113;0.68920809
1032013;0.67829993;0.57868449
1042013;0.34914692;0.45199587
1052013;-0.30893954;0.32192387
1062013;-0.89039196;0.1933556
1072013;-0.34736634;0.21064841
1082013;-0.21100608;0.44447726
1092013;0.30654806;0.56477505
1102013;0.96704991;0.64409641
1112013;12.362.571;0.711388
1122013;15.981.278;0.79785204
1012014;15.469.653;0.75424409
1022014;12.944.463;0.63357036
1032014;0.94443299;0.58206786
1042014;0.52415356;0.63206664
1052014;-0.24767623;0.34974274
1062014;-0.68618095;0.023059029
1072014;-0.48306785;0.2903457
1082014;-0.31904029;0.2768122
1092014;0.5825623;0.47492764
1102014;10.373.161;0.70048601
1112014;12.294.501;0.76477014
1122014;13.662.495;0.85687315
1012015;15.127.105;0.74860513
1022015;13.451.697;0.61214231
1032015;0.90929992;0.51515221
1042015;0.27383038;0.55462493
1052015;-0.18158213;0.43282341
1062015;-0.52896043;0.35350204
1072015;-0.59154122;0.25200078
1082015;-0.22549848;0.34936681
1092015;-0.016017504;0.44372539
1102015;0.78874954;0.52154303
1112015;10.913.332;0.65762992
1122015;13.482.438;0.73695128
1012016;14.802.124;0.75048478
1022016;13.001.554;0.71101207
1032016;0.8434254;0.58996241
1042016;0.29337316;0.52191896
1052016;-0.46045093;0.26102311
1062016;-0.93101458;0.18809257
1072016;-0.57551176;0.20049828
1082016;-0.04214773;0.4204177
1092016;0.37132467;0.52943758
1102016;0.75054232;0.60650335
1112016;0.86099193;0.67980982
1122016;14.446.402;0.71439544
1012017;14.839.453;0.78394261
1022017;12.929.092;0.59936067
1032017;10.092.096;0.56139168
1042017;0.46772105;0.50387429
1052017;-0.23406216;0.24335437
1062017;-0.67410396;0.1467402
1072017;-0.4488131;0.092606194
1082017;0.10299579;0.35312611
1092017;0.61923245;0.50913732
1102017;0.83244631;0.62905919
1112017;10.575.176;0.75349223
1122017;14.727.466;0.87266223
1012018;14.573.759;0.75574781
1022018;13.673.474;0.66853191
1032018;0.95497292;0.59710509
1042018;0.64580184;0.49710754
1052018;0.026581352;0.36139659
1062018;-0.79838722;0.1245603
1072018;-0.51512678;0.21027248
1082018;-0.27117148;0.35575763
1092018;0.50219538;0.52530234
1102018;0.9071041;0.63808153
1112018;10.122.837;0.71928254
1122018;15.245.679;0.74296617
